past_tr_id,past_tr_departure,past_tr_return,past_tr_dest_count,past_tr_participants,past_tr_revenue
325,2022-08-29 18:00:00,2022-09-05 09:00:00,1,21,2626.41
326,2020-10-18 09:00:00,2020-10-27 07:00:00,4,45,3198.03
327,2022-06-23 02:00:00,2022-07-07 01:00:00,4,45,4412.87
328,2022-02-07 04:00:00,2022-02-14 22:00:00,2,43,1163.68
329,2022-01-04 05:00:00,2022-01-12 06:00:00,4,13,4462.95
330,2021-12-03 00:00:00,2021-12-07 17:00:00,5,17,408.28
331,2020-06-23 17:00:00,2020-07-07 18:00:00,5,12,1726.19
332,2020-03-12 12:00:00,2020-03-18 09:00:00,3,47,4734.46
333,2022-09-12 02:00:00,2022-09-22 10:00:00,3,29,1568.07
334,2021-06-28 15:00:00,2021-07-10 02:00:00,5,23,2284.37
335,2022-05-13 03:00:00,2022-05-14 18:00:00,3,47,2208.51
336,2020-09-27 21:00:00,2020-09-30 07:00:00,1,25,2357.53
337,2020-02-04 20:00:00,2020-02-16 09:00:00,3,44,4078.25
338,2020-09-04 19:00:00,2020-09-14 07:00:00,3,43,414.63
339,2022-06-10 20:00:00,2022-06-22 09:00:00,5,48,942.5
340,2020-02-04 01:00:00,2020-02-10 15:00:00,1,8,111.2
341,2020-10-06 13:00:00,2020-10-14 00:00:00,3,43,4722.66
342,2021-10-07 18:00:00,2021-10-11 14:00:00,4,23,1732.47
343,2021-02-23 09:00:00,2021-03-03 14:00:00,2,49,2809.25
344,2020-04-30 22:00:00,2020-05-15 08:00:00,2,26,1157.62
345,2020-12-14 15:00:00,2020-12-18 19:00:00,5,31,4876.78
346,2021-04-06 20:00:00,2021-04-17 19:00:00,2,35,3992.88
347,2022-10-27 00:00:00,2022-11-10 02:00:00,1,5,3778.71
348,2021-12-03 07:00:00,2021-12-11 06:00:00,2,42,4627.69
349,2020-01-23 02:00:00,2020-01-29 17:00:00,1,42,743.29
350,2020-01-16 19:00:00,2020-01-23 18:00:00,2,35,1264.84
351,2020-09-10 10:00:00,2020-09-12 07:00:00,3,26,4473.91
352,2021-08-29 19:00:00,2021-09-09 17:00:00,4,29,4281.27
353,2022-07-01 03:00:00,2022-07-09 17:00:00,2,25,4444.56
354,2020-11-26 13:00:00,2020-11-28 17:00:00,1,31,2747.59
355,2022-05-20 15:00:00,2022-05-31 18:00:00,3,22,4307.59
356,2022-02-25 22:00:00,2022-03-03 02:00:00,5,33,4507.31
357,2020-09-28 21:00:00,2020-10-13 03:00:00,1,45,655.46
358,2020-07-13 20:00:00,2020-07-26 21:00:00,4,19,4599.97
359,2020-09-27 21:00:00,2020-10-06 06:00:00,5,15,1021.02
360,2021-01-31 11:00:00,2021-02-13 18:00:00,3,42,4875.5
361,2021-06-01 16:00:00,2021-06-03 14:00:00,3,6,786.8
362,2022-03-09 12:00:00,2022-03-16 13:00:00,5,30,2186.86
363,2020-08-27 11:00:00,2020-09-09 05:00:00,1,11,1252.43
364,2020-09-08 16:00:00,2020-09-09 19:00:00,2,35,4538.15
365,2022-04-10 06:00:00,2022-04-12 00:00:00,5,22,3397.59
366,2021-08-17 04:00:00,2021-08-21 10:00:00,2,30,525.43
367,2022-04-17 02:00:00,2022-05-01 08:00:00,4,3,164.89
368,2022-12-08 07:00:00,2022-12-19 06:00:00,1,38,1506.95
369,2022-05-05 08:00:00,2022-05-08 07:00:00,4,47,1509.71
370,2020-08-27 09:00:00,2020-09-07 06:00:00,2,29,3107.65
371,2020-03-18 03:00:00,2020-03-27 19:00:00,3,27,3545.53
372,2022-04-23 10:00:00,2022-05-06 12:00:00,3,27,345.39
373,2020-09-27 10:00:00,2020-10-06 14:00:00,5,5,573.48
374,2022-11-10 10:00:00,2022-11-12 07:00:00,1,3,506.97
375,2021-03-27 05:00:00,2021-04-01 00:00:00,4,30,4579.1
376,2021-11-24 19:00:00,2021-12-09 18:00:00,5,1,4223.33
377,2020-07-03 16:00:00,2020-07-14 14:00:00,2,44,4667.84
